City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
86,pevek,64,RU,1522444061,82,69.7,170.27,16.39,9.42
87,monrovia,20,LR,1522441800,88,6.33,-10.8,80.6,7.74
88,dobson,75,US,1522443300,61,36.4,-80.72,68.0,19.46
89,greensburg,1,US,1522443180,37,30.83,-90.67,73.4,9.17
90,farah,0,AF,1522444070,46,32.37,62.11,62.74,2.71
91,hermanus,48,ZA,1522443883,100,-34.42,19.24,55.99,3.6
92,tasiilaq,0,GL,1522443000,67,65.61,-37.64,23.0,2.24
93,praia da vitoria,20,PT,1522440000,77,38.73,-27.07,62.6,25.3
94,charters towers,12,AU,1522444065,81,-20.07,146.27,74.26,10.09
95,zholymbet,0,KZ,1522444073,61,51.74,71.71,0.73,5.84
96,bambous virieux,75,MU,1522440000,83,-20.34,57.76,80.6,9.17
97,cowra,0,AU,1522444074,82,-33.84,148.69,46.86,2.93
98,inhambane,0,MZ,1522444067,100,-23.87,35.38,74.08,7.07
99,ingham,44,AU,1522444067,96,-18.65,146.16,79.75,10.2
100,lata,0,IN,1522444075,38,30.78,78.62,40.56,3.04
101,sao sebastiao,20,BR,1522440000,74,-3.15,-58.36,86.0,3.36
102,huarmey,32,PE,1522443971,60,-10.07,-78.15,75.39,3.83
103,constitucion,20,MX,1522438920,13,23.99,-104.67,77.0,3.36
104,bilma,0,NE,1522444076,33,18.69,12.92,63.19,5.61
105,vila velha,75,BR,1522443600,83,-3.71,-38.6,80.6,5.82
106,port elizabeth,90,US,1522443300,81,39.31,-74.98,59.0,11.41
107,brae,76,GB,1522443000,74,60.4,-1.35,35.6,3.36
108,barbacena,20,BR,1522440000,64,-21.23,-43.77,73.4,6.93
109,touros,56,BR,1522444072,99,-5.2,-35.46,77.95,8.75
110,gold coast,88,AU,1522440000,94,-28.0,153.41,69.8,5.82
111,siva,20,GR,1522441200,87,35.21,25.04,55.4,6.93
112,ambon,92,FR,1522443600,93,47.55,-2.56,44.6,9.17
113,kaitangata,100,NZ,1522444081,100,-46.28,169.85,53.47,22.06
114,skelleftea,0,SE,1522443000,92,64.75,20.95,14.0,3.36
115,suez,0,EG,1522444075,79,29.97,32.54,54.73,5.5
116,kavaratti,12,IN,1522444075,100,10.57,72.64,84.03,10.98
117,baft,0,IR,1522444083,43,29.23,56.61,35.11,2.71
118,oulu,36,FI,1522443000,78,65.01,25.47,17.6,3.36
119,taonan,64,CN,1522444084,90,45.34,122.78,40.11,4.38
120,fairbanks,1,US,1522439880,79,64.84,-147.72,24.8,5.82
121,talnakh,80,RU,1522444077,81,69.49,88.39,9.1,5.39
122,sao filipe,0,CV,1522444078,96,14.9,-24.5,70.98,13.44
123,celestun,64,MX,1522444078,94,20.87,-90.4,79.26,11.43
124,carnarvon,0,ZA,1522443913,81,-30.97,22.13,47.94,1.25
125,torbay,75,CA,1522440000,65,47.66,-52.73,41.0,8.05
126,tezu,92,IN,1522444079,100,27.93,96.16,52.44,1.59
